I ^vm+i0+00++++_indicat_+i+
, ^punc++,++++++
se ^p3cn+per++psv+por+++„©l+
saludaban ^vm+ii+3p++++_indicat_imperf_+saludar+
, ^punc++,++++++
re√≠an ^vm+ii+3p++++_indicat_imperf_+re„≠r+
y ^con+coor+++++_gensingcon_+y+
hablaban ^vm+ii+3p++++_indicat_imperf_vcommun_+hablar+
. ^punc+sent+.++++++
Por ^en++++++_1wrdprep_+por+
una ^lfs+ind+++++_indefart_+un+
de ^en++++++_1wrdprep_+de+
estas ^d3fp+dem++++!!+_predem_+este+
anomal√≠as ^nfp+com+++++_plurn_+anomal„≠a+
cl√°sicas ^jfp+++++!!+_postadj_+cl„°sico+
de ^en++++++_1wrdprep_+de+
Espa√±a ^n+prop+++++_propn_+espa„±a+
, ^punc++,++++++
aquellos ^d3mp+dem++++!!+_predem_+aquel+
estudiantes ^ncp+com++++!!+_plurn_+estudiante+
que ^que+rel++++!!+_indquerel_relproque_+que+
esperaban ^vm+ii+3p++++_indicat_imperf_vdes_+esperar+
en ^en++++++_1wrdprep_+en+
el ^lms+def+++++_defart_+el+
patio ^nms+com+++++_singn_+patio+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
Escuela ^n+prop+++++_propn_+escuela+
de ^en++++++_1wrdprep_+de+
Arquitectura ^n+prop+++++_propn_+arquitectura+
, ^punc++,++++++
no ^r++++++_rbother_+no+
eran ^vm+ii+3p++++_indicat_imperf_mvser_vexist_+ser+
arquitectos ^nmp+com+++++_nodetnp_plurn_+arquitecto+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
porvenir ^nms+com+++++_singn_+porvenir+
, ^punc++,++++++
sino ^con+coor+++++_othsingcon_+sino+
futuros ^nmp+com++++!!+_nodetnp_plurn_+futuro+
m√©dicos ^jmp+++++!!+_postadj_+m„©dico+
y ^con+coor+++++_gensingcon_+y+
farmac√©uticos ^nmp+com++++!!+_nodetnp_plurn_+farmac„©utico+
. ^punc+sent+.++++++
La ^lfs+def+++++_defart_+la+
clase ^nfs+com+++++_singn_+clase+
de ^en++++++_1wrdprep_+de+
Qu√≠mica ^n+prop++++!!+_propn_+qu„≠mica+
general ^jcs+++++!!+_postadj_relatj_+general+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
a√±o ^nms+com+++++_singn_+a„±o+
preparatorio ^jms++++++_postadj_+preparatorio+
de ^en++++++_1wrdprep_+de+
Medicina ^n+prop++++!!+_propn_+medicina+
y ^con+coor+++++_gensingcon_+y+
Farmacia ^n+prop++++!!+_propn_+farmacia+
se ^p3cn+per++psv++++„©l+
daba ^vm+ii+?s++++_indicat_imperf_+dar+
en ^en++++++_1wrdprep_+en+
esta ^d3fs+dem++++!!+_predem_+este+
√©poca ^nfs+com++++!!+_singn_+„©poca+
en ^en++++++_1wrdprep_+en+
una ^lfs+ind+++++_indefart_+un+
antigua ^jfs++++++_preadj_timej_+antiguo+
capilla ^nfs+com+++++_singn_+capilla+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
Instituto ^n+prop++++!!+_propn_+instituto+
de ^en++++++_1wrdprep_+de+
San ^jms+++++!!+_preadj_+san+
Isidro ^n+prop++++!!+_propn_+isidro+
convertida ^vm+ps+0s+pstn++++convertir+
en ^en++++++_1wrdprep_+en+
clase ^nfs+com+++++_nodetnp_singn_+clase+
, ^punc++,++++++
y ^con+coor+++++_gensingcon_+y+
√©sta ^p3fs+dem+++++_prodem_+„©sta+
ten√≠a ^vm+ii+?s++++_indicat_imperf_+tener+
su ^d3cs+pos+++++_prepos_+su+
entrada ^nfs+com++++!!+_singn_+entrada+
por ^en++++++_1wrdprep_+por+
la ^lfs+def+++++_defart_+la+
Escuela ^n+prop+++++_propn_+escuela+
de ^en++++++_1wrdprep_+de+
Arquitectura ^n+prop+++++_propn_+arquitectura+
. ^punc+sent+.++++++
La ^lfs+def+++++_defart_+la+
cantidad ^nfs+com+++++_singn_derivn_+cantidad+
de ^en++++++_1wrdprep_+de+
estudiantes ^ncp+com++++!!+_nodetnp_plurn_+estudiante+
y ^con+coor+++++_gensingcon_+y+
la ^lfs+def+++++_defart_+la+
impaciencia ^nfs+com+++++_singn_derivn_+impaciencia+
que ^que+rel++++!!+_indquerel_relproque_+que+
demostraban ^vm+ii+3p++++_indicat_imperf_vcommun_+demostrar+
por ^en++++++_1wrdprep_+por+
entrar ^vm+n0+00++++_novinf_+entrar+
en ^en++++++_1wrdprep_+en+
el ^lms+def+++++_defart_+el+
aula ^nfs+com+++++_singn_+aula+
se ^p3cn+per++psv+por++_sepsvpor_+„©l+
explicaba ^vm+ii+?s++++_indicat_imperf_vcommun_+explicar+
f√°cilmente ^r++++++_rbmente_+f„°cilmente+
por ^en++++++_1wrdprep_+por+
ser ^vm+n0+00+++!!+_novinf_mvser_vexist_+ser+
aqu√©l ^p000+++++++aqu„©l+
, ^punc++,++++++
primer ^mms+ord++++++primer+
d√≠a ^nms+com+++++_singn_+d„≠a+
de ^en++++++_1wrdprep_+de+
curso ^nms+com+++++_nodetnp_singn_+curso+
y ^con+coor+++++_gensingcon_+y+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
comienzo ^nms+com++++!!+_singn_+comienzo+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
carrera ^nfs+com+++++_singn_+carrera+
. ^punc+sent+.++++++
Ese ^d3ms+dem++++!!+_predem_+ese+
paso ^nms+com++++!!+_singn_+paso+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
bachillerato ^nms+com++++!!+_singn_+bachillerato+
a ^en++++++_1wrdprep_+a+
'l ^lms+def+++++_defart_+el+
estudio ^nms+com+++++_singn_+estudio+
de ^en++++++_1wrdprep_+de+
facultad ^nfs+com++++!!+_nodetnp_singn_+facultad+
siempre ^r++++++_rbtime_+siempre+
da ^vm+ip+3s++++_indicat_present_+dar+
a ^en++++++_1wrdprep_+a+
'l ^lms+def+++++_defart_+el+
estudiante ^ncs+com++++!!+_singn_+estudiante+
ciertas ^jfp++++++_postadj_preadj_+cierto+
ilusiones ^nfp+com+++++_nodetnp_plurn_+ilusi„≥n+
, ^punc++,++++++
le ^p3cs+per+++++_3pro_+„©l+
hace ^vm+ip+3s++++_indicat_present_vfacil_+hacer+
creer ^vm+n0+00++++_vinf_vment_+creer+
se ^p3cn+per++mtz++clt+_clitic_++
m√°s ^r++++++_rbother_+m„°s+
hombre ^nms+com++++!!+_nodetnp_singn_+hombre+
, ^punc++,++++++
que ^que+cpare++++!!+_cpareque_+que+
su ^d3cs+pos+++++_prepos_+su+
vida ^nfs+com+++++_singn_+vida+
ha ^vm+ip+3s++++_indicat_present_haberque_+haber+
de ^en++++++_1wrdprep_+de+
cambiar ^vm+n0+00++++_novinf_+cambiar+
. ^punc+sent+.++++++
Andr√©s ^n00++++++_nodetnp_+andr„©s+
Hurtado ^n+prop++++??+_propn_+hurtado+
, ^punc++,++++++
algo ^p0cn+ind++++!!++algo+
sorprendido ^vm+ps+0s+++++sorprender+
de ^en++++++_1wrdprep_+de+
ver ^vm+n0+00++++_novinf_vment_+ver+
se ^p3cn+per++++clt+_justse_clitic_++
entre ^en++++++_1wrdprep_+entre+
tanto ^r+++++!!+_rbother_+tanto+
compa√±ero ^nms+com+++++_nodetnp_singn_+compa„±ero+
, ^punc++,++++++
miraba ^vm+ii+?s++++_indicat_imperf_vment_+mirar+
atentamente ^r++++++_rbmente_+atentamente+
arrimado ^vm+ps+0s+++++arrimar+
a ^en++++++_1wrdprep_+a+
la ^lfs+def+++++_defart_+la+
pared ^nfs+com+++++_singn_+pared+
la ^lfs+def+++++_defart_+la+
puerta ^nfs+com+++++_singn_+puerta+
de ^en++++++_1wrdprep_+de+
un ^lms+ind+++++_indefart_+un+
√°ngulo ^nms+com+++++_singn_+„°ngulo+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
patio ^nms+com+++++_singn_+patio+
por ^en++++++_1wrdprep_+por+
donde ^p000+rel++++!!++donde+
ten√≠an ^va+ii+3p++++_indicat_imperf_othobligv_+tener+
que ^va"+++++!!++que+
pasar ^vm+n0+00++++_voccur_+pasar+
. ^punc+sent+.++++++
Los ^lmp+def+++++_defart_+el+
chicos ^nmp+com++++!!+_plurn_+chico+
se ^p3cn+per++psv++++„©l+
agrupaban ^vm+ii+3p++++_indicat_imperf_+agrupar+
delante ^en++++++_mltwrdprep_+delante+
de ^en"+++++++de+
aquella ^d3fs+dem+++++_predem_+aquel+
puerta ^nfs+com+++++_singn_+puerta+
como ^con+sub++++!!+_othsingcon_+como+
el ^lms+def+++++_defart_+el+
p√∫blico ^nms+com++++!!+_singn_+p„∫blico+
a ^en++++++_1wrdprep_+a+
la ^lfs+def+++++_defart_+la+
entrada ^nfs+com++++!!+_singn_+entrada+
de ^en++++++_1wrdprep_+de+
un ^lms+ind+++++_indefart_+un+
teatro ^nms+com+++++_singn_+teatro+
. ^punc+sent+.++++++
Andr√©s ^n00++++++_nodetnp_+andr„©s+
segu√≠a ^vm+ii+?s++++_indicat_imperf_+seguir+
apoyado ^vm+ps+0s+++++apoyar+
en ^en++++++_1wrdprep_+en+
la ^lfs+def+++++_defart_+la+
pared ^nfs+com+++++_singn_+pared+
, ^punc++,++++++
cuando ^con+sub++++!!+_othsingcon_+cuando+
sinti√≥ ^vm+is+3s++++_indicat_preter_+sentir+
que ^que+vcomp++++!!+_vcompque_indvcompque_+que+
le ^p3cs+per+++++_3pro_+„©l+
agarraban ^vm+ii+3p++++_indicat_imperf_+agarrar+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
brazo ^nms+com+++++_singn_+brazo+
y ^con+coor+++++_gensingcon_+y+
le ^p3cs+per+++++_3pro_+„©l+
dec√≠an ^vm+ii+3p++++_indicat_imperf_vcommun_+decir+
: ^punc+sent+:++++++
Hola ^n00+++++!!+_nodetnp_+hola+
, ^punc++,++++++
chico ^jms+++++!!+_sizej_+chico+
! ^punc+sent+!++++_exclam_++
Hurtado ^n+++++??+_nodetnp_++
se ^p3cn+per++ref+++_refse_+„©l+
volvi√≥ ^vm+is+3s++++_indicat_preter_vaspect_+volver+
y ^con+coor+++++_gensingcon_+y+
se ^p3cn+per++mtz++++„©l+
encontr√≥ ^vm+is+3s++++_indicat_preter_vment_+encontrar+
con ^en++++++_1wrdprep_+con+
su ^d3cs+pos+++++_prepos_+su+
compa√±ero ^nms+com+++++_singn_+compa„±ero+
de ^en++++++_1wrdprep_+de+
Instituto ^n+prop++++!!+_propn_+instituto+
Julio ^n+prop++++!!+_propn_+julio+
Aracil ^n+prop++++??+_propn_+aracil+
. ^punc+sent+.++++++
Hab√≠an ^va+ii+3p++++_indicat_imperf_perfect_+haber+
sido ^vm+ps+0s++++_mvser_vexist_+ser+
condisc√≠pulos ^nmp+com+++++_nodetnp_plurn_+condisc„≠pulo+
en ^en++++++_1wrdprep_+en+
San ^jms+++++!!+_preadj_+san+
Isidro ^n+prop++++!!+_propn_+isidro+
; ^punc+sent+;++++++
pero ^con+coor+++++_gensingcon_+pero+
Andr√©s ^n+prop+++++_propn_+andr„©s+
hac√≠a ^vm+ii+?s++++_indicat_imperf_vfacil_+hacer+
tiempo ^nms+com+++++_nodetnp_singn_+tiempo+
que ^que+temp++++!!+_tempque_+que+
no ^r++++++_rbother_+no+
ve√≠a ^vm+ii+?s++++_indicat_imperf_vment_+ver+
a ^en++++++_1wrdprep_+a+
Julio ^n+prop++++!!+_propn_+julio+
. ^punc+sent+.++++++
√âste ^p3ms+dem+++++_prodem_+„©ste+
hab√≠a ^va+ii+?s++++_indicat_imperf_perfect_+haber+
estudiado ^vm+ps+0s+++++estudiar+
el ^lms+def+++++_defart_+el+
√∫ltimo ^p3ms+++++!!++„∫ltimo+
a√±o ^nms+com+++++_nodetnp_singn_+a„±o+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
bachillerato ^nms+com++++!!+_singn_+bachillerato+
, ^punc++,++++++
seg√∫n ^en++++++_1wrdprep_+seg„∫n+
dijo ^vm+is+3s++++_indicat_preter_vcommun_+decir+
, ^punc++,++++++
en ^en++++++_1wrdprep_+en+
provincias ^nfp+com+++++_nodetnp_plurn_derivn_+provincia+
. ^punc+sent+.++++++
Qu√© ^p3cn+int++++!!++qu„©+
, ^punc++,++++++
t√∫ ^p2cs+per+++++_tupro_+t„∫+
tambi√©n ^r++++++_rbother_+tambi„©n+
vienes ^vm+ip+2s++++_2prod_indicat_present_+venir+
aqu√≠?--le ^v+++++??+++
pregunt√≥ ^vm+is+3s++++_indicat_preter_vcommun_+preguntar+
Aracil ^n+prop++++??+_propn_+aracil+
. ^punc+sent+.++++++
- ^punc++-++++++
- ^punc++-++++++
Ya ^r+++++!!+_rbtime_+ya+
ves ^vm+ip+2s++++_2prod_indicat_present_vment_+ver+
. ^punc+sent+.++++++
Qu√© ^p3cn+int++++!!++qu„©+
estudias ^vm+ip+2s++++_2prod_indicat_present_+estudiar+
? ^punc+sent+?++++_ynquest_++
- ^punc++-++++++
- ^punc++-++++++
Medicina ^nfs+com++++!!+_nodetnp_singn_+medicina+
. ^punc+sent+.++++++
Hombre ^nms+com++++!!+_nodetnp_singn_+hombre+
! ^punc+sent+!++++_exclam_++
Yo ^p1cs+per+++++_1pro_+yo+
tambi√©n ^r++++++_rbother_+tambi„©n+
. ^punc+sent+.++++++
Estudiaremos ^vm+if+1p++++_indicat_futur_+estudiar+
juntos ^jmp++++++_relatj_+junto+
. ^punc+sent+.++++++
Aracil ^n+++++??+_nodetnp_++
se ^p3cn+per++mtz++++„©l+
encontraba ^vm+ii+?s++++_indicat_imperf_vment_+encontrar+
en ^en++++++_1wrdprep_+en+
compa√±√≠a ^nfs+com+++++_nodetnp_singn_+compa„±„≠a+
de ^en++++++_1wrdprep_+de+
un ^lms+ind+++++_indefart_+un+
muchacho ^nms+com+++++_singn_+muchacho+
de ^en++++++_1wrdprep_+de+
m√°s ^r++++++_rbother_+m„°s+
edad ^nfs+com+++++_nodetnp_singn_+edad+
que ^que+cpare++++!!+_cpareque_+que+
√©l ^p3ms+per+++++_3pro_+„©l+
, ^punc++,++++++
a ^en++++++_1wrdprep_+a+
juzgar ^vm+n0+00++++_novinf_+juzgar+
por ^en++++++_1wrdprep_+por+
su ^d3cs+pos+++++_prepos_+su+
aspecto ^nms+com+++++_singn_+aspecto+
, ^punc++,++++++
de ^en++++++_1wrdprep_+de+
barba ^nms+com+++++_nodetnp_singn_+barba+
rubia ^jfs+++++!!+_postadj_+rubio+
y ^con+coor+++++_gensingcon_+y+
ojos ^nmp+com+++++_nodetnp_plurn_+ojo+
claros ^jmp++++++_postadj_+claro+
. ^punc+sent+.++++++
Este ^d3ms+dem++++!!+_predem_+este+
muchacho ^nms+com+++++_singn_+muchacho+
y ^con+coor+++++_gensingcon_+y+
Aracil ^vm+++++??+++
, ^punc++,++++++
los ^lmp+def+++++_defart_+el+
dos ^mcp+card++++!!++dos+
correctos ^jmp++++++_evalj_+correcto+
, ^punc++,++++++
hablaban ^vm+ii+3p++++_indicat_imperf_vcommun_+hablar+
con ^en++++++_1wrdprep_+con+
desd√©n ^nms+com+++++_nodetnp_singn_+desd„©n+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
dem√°s ^jcp+++++!!+_preadj_+dem„°s+
estudiantes ^ncp+com++++!!+_plurn_+estudiante+
, ^punc++,++++++
en ^en++++++_1wrdprep_+en+
su ^d3cs+pos+++++_prepos_+su+
mayor√≠a ^nfs+com+++++_singn_+mayor„≠a+
palurdos ^jmp+++++!!+_postadj_preadj_+palurdo+
provincianos ^nmp+com+++++_nodetnp_plurn_+provinciano+
, ^punc++,++++++
que ^que+rel++++!!+_indquerel_relproque_+que+
manifestaban ^vm+ii+3p++++_indicat_imperf_vcommun_+manifestar+
la ^lfs+def+++++_defart_+la+
alegr√≠a ^nfs+com+++++_singn_+alegr„≠a+
y ^con+coor+++++_gensingcon_+y+
la ^lfs+def+++++_defart_+la+
sorpresa ^nfs+com++++!!+_singn_+sorpresa+
de ^en++++++_1wrdprep_+de+
ver ^vm+n0+00++++_novinf_vment_+ver+
se ^p3cn+per++++clt+_justse_clitic_++
juntos ^jmp++++++_relatj_+junto+
con ^en++++++_1wrdprep_+con+
gritos ^nmp+com+++++_nodetnp_plurn_+grito+
y ^con+coor+++++_gensingcon_+y+
carcajadas ^nfp+com+++++_nodetnp_plurn_+carcajada+
. ^punc+sent+.++++++
Abrieron ^vm+is+3p++++_indicat_preter_+abrir+
la ^lfs+def+++++_defart_+la+
clase ^nfs+com+++++_singn_+clase+
, ^punc++,++++++
y ^con+coor+++++_gensingcon_+y+
los ^lmp+def+++++_defart_+el+
estudiantes ^ncp+com++++!!+_plurn_+estudiante+
, ^punc++,++++++
apresur√°ndo ^n+++++??+_nodetnp_++
se ^p3cn+per++++clt+_justse_clitic_++
y ^con+coor+++++_gensingcon_+y+
apret√°ndo ^n+++++??+_nodetnp_++
se ^p3cn+per++++clt+_justse_clitic_++
como ^con+sub++++!!+_othsingcon_+como+
si ^con+sub+++++_othsingcon_condexsubconj_+si+
fueran ^vm+si+3p+++!!+_subjun_imperf_+ir+
a ^en++++++_1wrdprep_+a+
ver ^vm+n0+00++++_novinf_vment_+ver+
un ^lms+ind+++++_indefart_+un+
espect√°culo ^nms+com+++++_singn_+espect„°culo+
entretenido ^jms+++++!!+_postadj_+entretenido+
, ^punc++,++++++
comenzaron ^vm+is+3p++++_indicat_preter_+comenzar+
a ^vm"+is+3p+++++a+
pasar ^vm+n0+00++++_vinf_voccur_+pasar+
. ^punc+sent+.++++++
- ^punc++-++++++
- ^punc++-++++++
Habr√° ^va+if+3s++++_indicat_futur_haberque_+haber+
que ^va"+vcomp++++!!++que+
ver ^vm+n0+00++++_vment_+ver+
c√≥mo ^con+sub+++++_othsingcon_+c„≥mo+
entran ^vm+ip+3p++++_indicat_present_+entrar+
dentro ^en++++++_mltwrdprep_+dentro+
de ^en"+++++++de+
unos ^lmp+ind+++++_indefart_+un+
d√≠as--dijo ^n+++++??+++
Aracil ^n+prop++++??+_propn_+aracil+
burlonamente ^r++++++_rbmente_+burlonamente+
. ^punc+sent+.++++++
- ^punc++-++++++
- ^punc++-++++++
Tendr√°n ^vm+if+3p++++_indicat_futur_+tener+
la ^lfs+def+++++_defart_+la+
misma ^d0fs+++++!!++mismo+
prisa ^nfs+com++++!!+_singn_+prisa+
para ^en++++++_1wrdprep_+para+
salir ^vm+n0+00++++_novinf_+salir+
que ^que+vcomp++++!!+_vcompque_indvcompque_+que+
ahora ^r++++++_rbtime_+ahora+
tienen ^vm+ip+3p++++_indicat_present_+tener+
para ^en++++++_1wrdprep_+para+
entrar--repuso ^vm+++++??+++
el ^lms+def+++++_defart_+el+
otro ^d3ms+ind++++!!+_quant_+otro+
. ^punc+sent+.++++++
Aracil ^n+++++??+_nodetnp_++
, ^punc++,++++++
su ^d3cs+pos+++++_prepos_+su+
amigo ^nms+com++++!!+_singn_+amigo+
y ^con+coor+++++_gensingcon_+y+
Hurtado ^n+prop++++??+_propn_+hurtado+
se ^p3cn+per++ref+++_refse_+„©l+
sentaron ^vm+is+3p++++_indicat_preter_+sentar+
juntos ^jmp++++++_relatj_+junto+
. ^punc+sent+.++++++
La ^lfs+def+++++_defart_+la+
clase ^nfs+com+++++_singn_+clase+
era ^vm+ii+?s++++_indicat_imperf_mvser_vexist_+ser+
la ^lfs+def+++++_defart_+la+
antigua ^jfs++++++_preadj_timej_+antiguo+
capilla ^nfs+com+++++_singn_+capilla+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
Instituto ^n+prop++++!!+_propn_+instituto+
de ^en++++++_1wrdprep_+de+
San ^jms+++++!!+_preadj_+san+
Isidro ^n+prop++++!!+_propn_+isidro+
de ^en++++++_1wrdprep_+de+
cuando ^con+sub++++!!+_othsingcon_+cuando+
√©ste ^p3ms+dem+++++_prodem_+„©ste+
pertenec√≠a ^vm+ii+?s++++_indicat_imperf_+pertenecer+
a ^en++++++_1wrdprep_+a+
los ^lmp+def+++++_defart_+el+
jesu√≠tas ^n+++++??+++
. ^punc+sent+.++++++
Ten√≠a ^vm+ii+?s++++_indicat_imperf_+tener+
el ^lms+def+++++_defart_+el+
techo ^nms+com+++++_singn_+techo+
pintado ^jms+++++!!+_postadj_+pintado+
con ^en++++++_1wrdprep_+con+
grandes ^jcp++++++_preadj_sizej_+grande+
figuras ^nfp+com+++++_nodetnp_plurn_+figura+
a ^en++++++_1wrdprep_+a+
estilo ^nms+com+++++_nodetnp_singn_+estilo+
de ^en++++++_1wrdprep_+de+
Jordaens ^n+prop++++??+_propn_+jordaens+
; ^punc+sent+;++++++
en ^en++++++_1wrdprep_+en+
los ^lmp+def+++++_defart_+el+
√°ngulos ^nmp+com+++++_plurn_+„°ngulo+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
escocia ^n00+++++++escocia+
los ^lmp+def+++++_defart_+el+
cuatro ^mcp+card++++!!++cuatro+
evangelistas ^ncp+com+++++_plurn_+evangelista+
, ^punc++,++++++
y ^con+coor+++++_gensingcon_+y+
en ^en++++++_1wrdprep_+en+
el ^lms+def+++++_defart_+el+
centro ^nms+com+++++_singn_+centro+
una ^lfs+ind+++++_indefart_+un+
porci√≥n ^nfs+com+++++_singn_+porci„≥n+
de ^en++++++_1wrdprep_+de+
figuras ^nfp+com+++++_nodetnp_plurn_+figura+
y ^con+coor+++++_gensingcon_+y+
escenas ^nfp+com+++++_nodetnp_plurn_+escena+
b√≠blicas ^jfp++++++_postadj_+b„≠blico+
. ^punc+sent+.++++++
Desde ^en++++++_1wrdprep_+desde+
el ^lms+def+++++_defart_+el+
suelo ^nms+com+++++_singn_+suelo+
hasta ^en++++++_1wrdprep_+hasta+
cerca ^en++++++_mltwrdprep_+cerca+
de ^en"+++++++de+
'l ^lms+def+++++_defart_+el+
techo ^nms+com+++++_singn_+techo+
se ^p3cn+per++psv++++„©l+
levantaba ^vm+ii+?s++++_indicat_imperf_+levantar+
una ^lfs+ind+++++_indefart_+un+
grader√≠a ^n+++++??+++
de ^en++++++_1wrdprep_+de+
madera ^nfs+com+++++_nodetnp_singn_+madera+
muy ^r++++++_rbother_+muy+
empinada ^jfs+++++!!++empinado+
con ^en++++++_1wrdprep_+con+
una ^lfs+ind+++++_indefart_+un+
escalera ^nfs+com+++++_singn_+escalera+
central ^jcs+++++!!+_postadj_relatj_+central+
, ^punc++,++++++
lo ^p3cn+rel+++++_othelque_+„©l+
que ^p3cn"+rel+++++_indothelque_+que+
daba ^vm+ii+?s++++_indicat_imperf_+dar+
a ^en++++++_1wrdprep_+a+
la ^lfs+def+++++_defart_+la+
clase ^nfs+com+++++_singn_+clase+
el ^lms+def+++++_defart_+el+
aspecto ^nms+com+++++_singn_+aspecto+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
gallinero ^nms+com+++++_singn_+gallinero+
de ^en++++++_1wrdprep_+de+
un ^lms+ind+++++_indefart_+un+
teatro ^nms+com+++++_singn_+teatro+
. ^punc+sent+.++++++
Los ^lmp+def+++++_defart_+el+
estudiantes ^ncp+com++++!!+_plurn_+estudiante+
llenaron ^vm+is+3p++++_indicat_preter_+llenar+
los ^lmp+def+++++_defart_+el+
bancos ^nmp+com+++++_plurn_+banco+
casi ^r++++++_rbother_+casi+
hasta ^en++++++_1wrdprep_+hasta+
arriba ^r++++++_rbplace_+arriba+
; ^punc+sent+;++++++
no ^r++++++_rbother_+no+
estaba ^vm+ii+?s++++_indicat_imperf_mvestar_vexist_+estar+
a√∫n ^r+++++!!+_rbother_+a„∫n+
el ^lms+def+++++_defart_+el+
catedr√°tico ^nms+com+++++_singn_+catedr„°tico+
, ^punc++,++++++
y ^con+coor+++++_gensingcon_+y+
como ^con+sub++++!!+_othsingcon_+como+
hab√≠a ^vm+ii+?s++++_indicat_imperf_exhaber_+haber+
mucha ^d0fs+ind++++!!+_quant_+mucho+
gente ^nfs+com+++++_singn_+gente+
alborotadora ^n+++++??+_nodetnp_++
entre ^en++++++_1wrdprep_+entre+
los ^lmp+def+++++_defart_+el+
alumnos ^nmp+com+++++_plurn_+alumno+
, ^punc++,++++++
alguno ^p3ms+ind++++!!++alguno+
comenz√≥ ^vm+is+3s++++_indicat_preter_+comenzar+
a ^vm"+is+3s+++++a+
dar ^vm+n0+00++++_vinf_+dar+
golpecitos ^nmp+com++dim+++_nodetnp_plurn_dimin_+golpecito+
en ^en++++++_1wrdprep_+en+
el ^lms+def+++++_defart_+el+
suelo ^nms+com+++++_singn_+suelo+
con ^en++++++_1wrdprep_+con+
el ^lms+def+++++_defart_+el+
bast√≥n ^nms+com+++++_singn_+bast„≥n+
; ^punc+sent+;++++++
