>>Filename:written_encyc_art_Arte y arquitectura africanas.txt
>>Mode:written
>>Register:encyclopedia
>>End header
artísticas ^jfp++++++_postadj_+artístico+
y ^con+coor+++++_gensingcon_+y+
culturales ^jcp+++++++cultural+
con ^en++++++_1wrdprep_+con+
las ^lfp+def+++++_defart_+la+
civilizaciones ^nfp+com+++++_plurn_derivn_+civilización+
africanas ^jfp++++++_postadj_+africano+
a ^en++++++_1wrdprep_+a+
'l ^lms+def+++++_defart_+el+
sur ^nms+com++++!!+_singn_+sur+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
Sahara ^n+prop+++++_propn_+sahara+
. ^punc+sent+.++++++
Las ^lfp+def+++++_defart_+la+
artes ^ncp+com+++++_plurn_+arte+
africanas ^jfp++++++_postadj_+africano+
son ^vm+ip+3p++++_indicat_present_mvser_vexist_+ser+
fiel ^nms+com++++!!+_nodetnp_singn_+fiel+
reflejo ^vm+ip+1s+++!!+_1prod_indicat_present_+reflejar+
de ^en++++++_1wrdprep_+de+
las ^lfp+def+++++_defart_+la+
ricas ^jfp+++++!!+_preadj_+rico+
historias ^nfp+com+++++_plurn_+historia+
, ^punc++,++++++
filosofías ^nfp+com+++++_nodetnp_plurn_+filosofía+
, ^punc++,++++++
religiones ^nfp+com+++++_nodetnp_plurn_derivn_+religión+
y ^con+coor+++++_gensingcon_+y+
sociedades ^nfp+com+++++_nodetnp_plurn_derivn_+sociedad+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
habitantes ^ncp+com+++++_plurn_+habitante+
de ^en++++++_1wrdprep_+de+
este ^d3ms+dem++++!!+_predem_+este+
vasto ^jms++++++_preadj_+vasto+
continente ^nms+com++++!!+_singn_+continente+
. ^punc+sent+.++++++
El ^lms+def+++++_defart_+el+
arte ^nms+com+++++_singn_+arte+
africano ^jms+++++!!+_postadj_+africano+
, ^punc++,++++++
además ^r++++++_rbother_+además+
de ^en++++++_1wrdprep_+de+
su ^d3cs+pos+++++_prepos_+su+
importancia ^nfs+com+++++_singn_derivn_+importancia+
inherente ^jcs++++++_postadj_+inherente+
a ^en++++++_1wrdprep_+a+
las ^lfp+def+++++_defart_+la+
gentes ^nfp+com+++++_plurn_+gente+
que ^que+relat++++!!+_relproque_+que+
lo ^p3ms+per++++!!+_3pro_+él+
produjeron ^vm+is+3p++++_indicat_preter_+producir+
, ^punc++,++++++
ha ^va+ip+3s++++_indicat_present_perfect_+haber+
servido ^vm+ps+0s+++++servir+
de ^en++++++_1wrdprep_+de+
inspiración ^nfs+com+++++_nodetnp_singn_derivn_+inspiración+
a ^en++++++_1wrdprep_+a+
algunos ^d3mp+ind++++!!+_quant_+alguno+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
más ^r++++++_rbother_+más+
importantes ^jcp++++++_preadj_+importante+
artistas ^ncp+com++++!!+_nodetnp_plurn_+artista+
y ^con+coor+++++_gensingcon_+y+
movimientos ^nmp+com+++++_nodetnp_plurn_derivn_+movimiento+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
arte ^nms+com+++++_singn_+arte+
contemporáneo ^jms+++++!!+_postadj_+contemporáneo+
tanto ^r+++++!!+_rbother_+tanto+
de ^en++++++_1wrdprep_+de+
Europa ^n+prop+++++_propn_+europa+
como ^con+sub++++!!+_othsingcon_+como+
de ^en++++++_1wrdprep_+de+
América ^n+prop+++++_propn_+américa+
. ^punc+sent+.++++++
Los ^lmp+def+++++_defart_+el+
artistas ^ncp+com++++!!+_plurn_+artista+
occidentales ^jcp+++++!!+_postadj_+occidental+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
siglo ^nms+com+++++_singn_+siglo+
XX ^j00+++++!!+_postadj_+xx+
han ^va+ip+3p++++_indicat_present_perfect_+haber+
admirado ^vm+ps+0s+++!!++admirar+
la ^lfs+def+++++_defart_+la+
importancia ^nfs+com+++++_singn_derivn_+importancia+
que ^que+relat++++!!+_relproque_+que+
se ^p3cn+per++psv+++_3pro_sepsvagntlss_+él+
concede ^vm+ip+3s++++_indicat_present_+conceder+
a ^en++++++_1wrdprep_+a+
la ^lfs+def+++++_defart_+la+
abstracción ^nfs+com+++++_singn_derivn_+abstracción+
en ^en++++++_1wrdprep_+en+
el ^lms+def+++++_defart_+el+
arte ^nms+com+++++_singn_+arte+
africano ^jms+++++!!+_postadj_+africano+
, ^punc++,++++++
estimulando ^vm+pp+00++++_present_+estimular+
con ^en++++++_1wrdprep_+con+
ello ^p30s+per+++++_3pro_+ello+
su ^d3cs+pos+++++_prepos_+su+
falta ^nfs+com++++!!+_singn_+falta+
de ^en++++++_1wrdprep_+de+
preocupación ^nfs+com+++++_nodetnp_singn_derivn_+preocupación+
por ^en++++++_1wrdprep_+por+
el ^lms+def+++++_defart_+el+
naturalismo ^nms+com+++++_singn_+naturalismo+
. ^punc+sent+.++++++
La ^lfs+def+++++_defart_+la+
historia ^nfs+com++++!!+_singn_+historia+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
arte ^nms+com+++++_singn_+arte+
africano ^jms+++++!!+_postadj_+africano+
se ^p3cn+per++psv+++_3pro_sepsvagntlss_+él+
remonta ^vm+ip+3s++++_indicat_present_+remontar+
a ^en++++++_1wrdprep_+a+
los ^lmp+def+++++_defart_+el+
tiempos ^nmp+com+++++_plurn_+tiempo+
prehistóricos ^jmp++++++_postadj_+prehistórico+
. ^punc+sent+.++++++
Entre ^en++++++_1wrdprep_+entre+
las ^lfp+def+++++_defart_+la+
formas ^nfp+com+++++_plurn_+forma+
artísticas ^jfp++++++_postadj_+artístico+
más ^r++++++_rbother_+más+
antiguas ^jfp+++++++antiguo+
están ^vm+ip+3p++++_indicat_present_mvestar_vexist_+estar+
las ^lfp+def+++++_defart_+la+
pinturas ^nfp+com+++++_plurn_+pintura+
y ^con+coor+++++_gensingcon_+y+
grabados ^vm+ps+0p+++!!+_preter_+grabar+
en ^en++++++_1wrdprep_+en+
piedra ^nfs+com+++++_nodetnp_singn_+piedra+
de ^en++++++_1wrdprep_+de+
Tassili ^n+prop+++++_propn_+tassili+
n ^n+++++??+_nodetnp_++
' ^punc++'++++++
Ajjer ^n+prop++++??+_propn_+ajjer+
y ^con+coor+++++_gensingcon_+y+
Ennedi ^vm+++++??+++
, ^punc++,++++++
en ^en++++++_1wrdprep_+en+
el ^lms+def+++++_defart_+el+
Sahara ^n+prop+++++_propn_+sahara+
( ^punc++(++++++
6000 ^n+++++??+_nodetnp_++
a ^en++++++_1wrdprep_+a+
. ^punc+sent+.++++++
C ^+++++!!+++
. ^punc+sent+.++++++
y ^con+coor+++++_gensingcon_+y+
siglo ^nms+com+++++_nodetnp_singn_+siglo+
I ^vm+i0+00++++_indicat_+i+
d ^n+++++??+_nodetnp_++
. ^punc+sent+.++++++
C ^+++++!!+++
. ^punc+sent+.++++++
Otros ^d3mp+ind++++!!+_quant_+otro+
ejemplos ^nmp+com+++++_plurn_+ejemplo+
de ^en++++++_1wrdprep_+de+
arte ^nms+com+++++_nodetnp_singn_+arte+
primitivo ^jms+++++!!+_postadj_+primitivo+
los ^p3mp+per+++++_3pro_+el+
tenemos ^vm+ip+1p++++_1prod_indicat_present_+tener+
en ^en++++++_1wrdprep_+en+
las ^lfp+def+++++_defart_+la+
esculturas ^nfp+com+++++_plurn_+escultura+
modeladas ^n+++++??+_nodetnp_++
en ^en++++++_1wrdprep_+en+
arcilla ^nfs+com+++++_nodetnp_singn_+arcilla+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
artistas ^ncp+com++++!!+_plurn_+artista+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
cultura ^nfs+com++++!!+_singn_+cultura+
Nok ^n+prop++++??+_propn_+nok+
, ^punc++,++++++
a ^en++++++_1wrdprep_+a+
'l ^lms+def+++++_defart_+el+
norte ^nms+com++++!!+_singn_+norte+
de ^en++++++_1wrdprep_+de+
Nigeria ^n+prop+++++_propn_+nigeria+
, ^punc++,++++++
fechadas ^n+++++??+_nodetnp_++
entre ^en++++++_1wrdprep_+entre+
el ^lms+def+++++_defart_+el+
500 ^n+++++??+++
y ^con+coor+++++_gensingcon_+y+
el ^lms+def+++++_defart_+el+
300 ^n+++++??+++
a ^en++++++_1wrdprep_+a+
. ^punc+sent+.++++++
C ^+++++!!+++
. ^punc+sent+.++++++
también ^r++++++_rbother_+también+
en ^en++++++_1wrdprep_+en+
los ^lmp+def+++++_defart_+el+
decorativos ^jmp++++++_preadj_+decorativo+
trabajos ^nmp+com+++++_plurn_+trabajo+
en ^en++++++_1wrdprep_+en+
bronce ^nms+com+++++_nodetnp_singn_+bronce+
de ^en++++++_1wrdprep_+de+
Igbo-Ukwu ^n+prop++++??+_propn_+igbo-ukwu+
( ^punc++(++++++
siglos ^nmp+com+++++_nodetnp_plurn_+siglo+
IX ^n+prop+++++_propn_+ix+
y ^con+coor+++++_gensingcon_+y+
X ^n+prop++++!!+_propn_+x+
d ^n+++++??+_nodetnp_++
. ^punc+sent+.++++++
C ^+++++!!+++
. ^punc+sent+.++++++
y ^con+coor+++++_gensingcon_+y+
en ^en++++++_1wrdprep_+en+
las ^lfp+def+++++_defart_+la+
magníficas ^jfp++++++_preadj_+magnífico+
esculturas ^nfp+com+++++_plurn_+escultura+
en ^en++++++_1wrdprep_+en+
bronce ^nms+com+++++_nodetnp_singn_+bronce+
y ^con+coor+++++_gensingcon_+y+
terracota ^nfs+com+++++_nodetnp_singn_+terracota+
de ^en++++++_1wrdprep_+de+
Ifé ^n+prop++++??+_propn_+ifé+
( ^punc++(++++++
de ^en++++++_1wrdprep_+de+
( ^punc++(++++++
'l ^lms+def+++++_defart_+el+
siglo ^nms+com+++++_singn_+siglo+
XII ^n+prop+++++_propn_+xii+
a ^en++++++_1wrdprep_+a+
'l ^lms+def+++++_defart_+el+
XV ^n+prop++++!!+_propn_+xv+
d ^n+++++??+_nodetnp_++
. ^punc+sent+.++++++
C ^+++++!!+++
. ^punc+sent+.++++++
Estas ^d3fp+dem++++!!+_predem_+este+
últimas ^p3fp+++++!!++último+
muestran ^vm+ip+3p++++_indicat_present_vcommun_+mostrar+
tal ^d0cs+dem+++++_predem_+tal+
habilidad ^nfs+com+++++_singn_derivn_+habilidad+
técnica ^jfs+++++!!+_postadj_+técnico+
y ^con+coor+++++_gensingcon_+y+
están ^va+ip+3p++++_indicat_present_vexist_+estar+
representadas ^vm+ps+0p+++++representar+
de ^en++++++_1wrdprep_+de+
forma ^nfs+com+++++_nodetnp_singn_+forma+
tan ^r+++++!!+_rbother_+tan+
naturalista ^jcs+++++!!++naturalista+
que ^que+relat++++!!+_relproque_+que+
en ^en++++++_1wrdprep_+en+
un ^lms+ind+++++_indefart_+un+
principio ^nms+com+++++_singn_+principio+
, ^punc++,++++++
aunque ^con+sub+++++_othsingcon_+aunque+
erróneamente ^r++++++_rbstance_+erróneamente+
, ^punc++,++++++
se ^p3cn+per++psv+++_3pro_sepsvagntlss_+él+
consideró ^vm+is+3s++++_indicat_preter_vment_+considerar+
que ^que+vcomp++++!!+_vcompque_+que+
estaban ^va+ii+3p++++_indicat_imperf_vexist_+estar+
inspiradas ^vm+ps+0p+++++inspirar+
en ^en++++++_1wrdprep_+en+
la ^lfs+def+++++_defart_+la+
Grecia ^n+prop+++++_propn_+grecia+
clásica ^jfs+++++!!+_postadj_+clásico+
. ^punc+sent+.++++++
Las ^lfp+def+++++_defart_+la+
ricas ^jfp+++++!!+_preadj_+rico+
tradiciones ^nfp+com+++++_plurn_derivn_+tradición+
artísticas ^jfp++++++_postadj_+artístico+
africanas ^jfp+++++++africano+
continúan ^vm+ip+3p++++_indicat_present_+continuar+
hoy ^r++++++_rbtime_+hoy+
día ^nms+com+++++_nodetnp_singn_+día+
, ^punc++,++++++
tanto ^r+++++!!+_rbother_+tanto+
en ^en++++++_1wrdprep_+en+
su ^d3cs+pos+++++_prepos_+su+
línea ^nfs+com+++++_singn_+línea+
más ^r++++++_rbother_+más+
tradicional ^jcs+++++++tradicional+
como ^con+sub++++!!+_othsingcon_+como+
a ^en++++++_mltwrdprep_+a+
través ^en"+++++++través+
de ^en"+++++++de+
nuevos ^jmp+++++++nuevo+
y ^con+coor+++++_gensingcon_+y+
renovadores ^nmp+com+++++_nodetnp_plurn_derivn_+renovador+
modos ^nmp+com+++++_nodetnp_plurn_+modo+
de ^en++++++_1wrdprep_+de+
expresión ^nfs+com+++++_nodetnp_singn_derivn_+expresión+
. ^punc+sent+.++++++
II ^n00++++++_nodetnp_+ii+
. ^punc+sent+.++++++
HERENCIA ^nfs+com+++++_nodetnp_singn_derivn_+herencia+
ARTÍSTICA ^jfs++++++_postadj_+artístico+
AFRICANA ^jfs+++++++africano+
La ^lfs+def+++++_defart_+la+
tradición ^nfs+com+++++_singn_derivn_+tradición+
artística ^jfs++++++_postadj_+artístico+
africana ^jfs+++++++africano+
abarca ^vm+ip+3s++++_indicat_present_+abarcar+
la ^lfs+def+++++_defart_+la+
escultura ^nfs+com+++++_singn_+escultura+
( ^punc++(++++++
en ^en++++++_1wrdprep_+en+
forma ^nfs+com+++++_nodetnp_singn_+forma+
de ^en++++++_1wrdprep_+de+
figuras ^nfp+com+++++_nodetnp_plurn_+figura+
y ^con+coor+++++_gensingcon_+y+
máscaras ^nfp+com+++++_nodetnp_plurn_+máscara+
, ^punc++,++++++
) ^punc++)++++++
la ^lfs+def+++++_defart_+la+
arquitectu ^n+++++??+++
ra ^n00+++++!!+_nodetnp_+ra+
( ^punc++(++++++
principalmente ^r++++++_rbmente_+principalmente+
estructuras ^nfp+com+++++_nodetnp_plurn_+estructura+
de ^en++++++_1wrdprep_+de+
tipo ^nms+com+++++_nodetnp_singn_+tipo+
doméstico ^jms+++++!!+_postadj_+doméstico+
, ^punc++,++++++
) ^punc++)++++++
el ^lms+def+++++_defart_+el+
mobiliario ^nms+com++++!!+_singn_+mobiliario+
la ^lfs+def+++++_defart_+la+
cerámica ^nfs+com++++!!+_singn_+cerámica+
, ^punc++,++++++
los ^lmp+def+++++_defart_+el+
tejidos ^nmp+com++++!!+_plurn_+tejido+
y ^con+coor+++++_gensingcon_+y+
las ^lfp+def+++++_defart_+la+
joyas ^nfp+com+++++_plurn_+joya+
. ^punc+sent+.++++++
La ^lfs+def+++++_defart_+la+
decoración ^nfs+com+++++_singn_derivn_+decoración+
corporal ^jcs+++++!!+_postadj_+corporal+
( ^punc++(++++++
que ^que+relat++++!!+_relproque_+que+
comprende ^vm+ip+3s++++_indicat_present_vment_+comprender+
pinturas ^nfp+com+++++_nodetnp_plurn_+pintura+
, ^punc++,++++++
peinados ^jmp+++++!!++peinado+
, ^punc++,++++++
tocados ^vm+ps+0p++++_preter_+tocar+
y ^con+coor+++++_gensingcon_+y+
tatuajes ^nmp+com+++++_nodetnp_plurn_derivn_+tatuaje+
, ^punc++,++++++
o ^con+coor+++++_gensingcon_+o+
incisiones ^nfp+com+++++_nodetnp_plurn_derivn_+incisión+
) ^punc++)++++++
y ^con+coor+++++_gensingcon_+y+
las ^lfp+def+++++_defart_+la+
pinturas ^nfp+com+++++_plurn_+pintura+
( ^punc++(++++++
en ^en++++++_1wrdprep_+en+
edificios ^nmp+com+++++_nodetnp_plurn_+edificio+
y ^con+coor+++++_gensingcon_+y+
ropas ^nfp+com+++++_nodetnp_plurn_+ropa+
) ^punc++)++++++
forman ^vm+ip+3p++++_indicat_present_+formar+
también ^r++++++_rbother_+también+
una ^lfs+ind+++++_indefart_+un+
parte ^nfs+com+++++_singn_+parte+
destacada ^vm+ps+0s+pstn+++_preter_vcommun_+destacar+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
patrimonio ^nms+com+++++_singn_+patrimonio+
artístico ^jms++++++_postadj_preadj_+artístico+
africano ^nms+com++++!!+_nodetnp_singn_+africano+
. ^punc+sent+.++++++
A ^en++++++_1wrdprep_+a+
. ^punc+sent+.++++++
Materiales ^nmp+com++++!!+_nodetnp_plurn_+material+
Los ^lmp+def+++++_defart_+el+
materiales ^nmp+com++++!!+_plurn_+material+
más ^r++++++_rbother_+más+
comúnmente ^r++++++_rbmente_+comúnmente+
empleados ^vm+ps+0p+++!!+_preter_+emplear+
son ^va+ip+3p++++_vexist_+ser+
la ^lfs+def+++++_defart_+la+
madera ^nfs+com+++++_singn_+madera+
, ^punc++,++++++
las ^lfp+def+++++_defart_+la+
fibras ^nfp+com+++++_plurn_+fibra+
textiles ^ncp+com+++++_nodetnp_plurn_+textil+
, ^punc++,++++++
el ^lms+def+++++_defart_+el+
metal ^nms+com+++++_singn_+metal+
( ^punc++(++++++
especialmente ^r++++++_rbmente_+especialmente+
bronce ^nms+com+++++_nodetnp_singn_+bronce+
, ^punc++,++++++
hierro ^nms+com++++!!+_nodetnp_singn_+hierro+
y ^con+coor+++++_gensingcon_+y+
oro ^nms+com++++!!+_nodetnp_singn_+oro+
, ^punc++,++++++
) ^punc++)++++++
el ^lms+def+++++_defart_+el+
marfil ^nms+com+++++_singn_+marfil+
, ^punc++,++++++
la ^lfs+def+++++_defart_+la+
arcilla ^nfs+com+++++_singn_+arcilla+
, ^punc++,++++++
la ^lfs+def+++++_defart_+la+
tierra ^nfs+com++++!!+_singn_+tierra+
y ^con+coor+++++_gensingcon_+y+
la ^lfs+def+++++_defart_+la+
piedra ^nfs+com+++++_singn_+piedra+
. ^punc+sent+.++++++
Las ^lfp+def+++++_defart_+la+
formas ^nfp+com+++++_plurn_+forma+
de ^en++++++_1wrdprep_+de+
representación ^nfs+com+++++_nodetnp_singn_derivn_+representación+
dentro ^en++++++_mltwrdprep_+dentro+
de ^en"+++++++de+
cada ^d0cs+ind+++++_quant_+cada+
elemento ^nms+com+++++_singn_derivn_+elemento+
varían ^vm+ip+3p++++_indicat_present_+variar+
desde ^en++++++_1wrdprep_+desde+
un ^lms+ind+++++_indefart_+un+
relativo ^jms+++++!!+_preadj_+relativo+
naturalismo ^nms+com+++++_singn_+naturalismo+
a ^en++++++_1wrdprep_+a+
la ^lfs+def+++++_defart_+la+
abstracción ^nfs+com+++++_singn_derivn_+abstracción+
absoluta ^jfs++++++_postadj_+absoluto+
, ^punc++,++++++
con ^en++++++_1wrdprep_+con+
unos ^lmp+ind+++++_indefart_+un+
estilos ^nmp+com+++++_plurn_+estilo+
artísticos ^jmp++++++_postadj_+artístico+
en ^en++++++_1wrdprep_+en+
consonancia ^nfs+com+++++_nodetnp_singn_derivn_+consonancia+
con ^en++++++_1wrdprep_+con+
la ^lfs+def+++++_defart_+la+
tradición ^nfs+com+++++_singn_derivn_+tradición+
estética ^jfs+++++!!+_postadj_+estético+
establecida ^vm+ps+0s++++_preter_voccur_+establecer+
en ^en++++++_1wrdprep_+en+
cada ^d0cs+ind+++++_quant_+cada+
área ^ncs+com+++++_singn_+área+
cultural ^jcs++++++_postadj_+cultural+
. ^punc+sent+.++++++
En ^en++++++_1wrdprep_+en+
el ^lms+def+++++_defart_+el+
arte ^nms+com+++++_singn_+arte+
africano ^jms+++++!!+_postadj_+africano+
se ^p3cn+per++psv+++_3pro_sepsvagntlss_+él+
presta ^vm+ip+3s++++_indicat_present_+prestar+
una ^lfs+ind+++++_indefart_+un+
considerable ^jcs++++++_preadj_+considerable+
atención ^nfs+com+++++_singn_derivn_+atención+
tanto ^r+++++!!+_rbother_+tanto+
a ^en++++++_1wrdprep_+a+
'l ^lms+def+++++_defart_+el+
mantenimiento ^nms+com+++++_singn_derivn_+mantenimiento+
